"ID°";"Cost";"Attack";"Defense";"Taunt";"Trample";"Distortion";"First Strike";
196;7;5;6;1;0;0;0;
193;6;5;3;1;0;0;0;
70;3;5;1;0;0;0;0;
79;8;5;10;0;0;0;0;
40;6;2;10;0;0;0;0;
92;5;7;2;0;0;0;0;
22;4;1;7;0;0;0;0;
19;3;1;4;0;0;0;0;
31;2;2;1;0;0;0;0;
190;8;4;9;1;0;0;0;
207;6;7;2;1;0;0;0;
3;2;0;4;0;0;0;0;
130;7;13;1;0;0;0;0;
78;7;5;9;0;0;0;0;
217;7;9;1;1;0;0;0;
16;1;1;1;0;0;0;0;
81;4;6;1;0;0;0;0;
46;3;3;2;0;0;0;0;
187;7;4;6;1;0;0;0;
137;3;0;2;1;0;0;0;
128;8;12;3;0;0;0;0;
185;6;4;4;1;0;0;0;
95;6;7;5;0;0;0;0;
45;2;3;1;0;0;0;0;
76;6;5;7;0;0;0;0;
181;8;3;10;1;0;0;0;
101;5;8;2;0;0;0;0;
59;3;4;2;0;0;0;0;
31;2;2;1;0;0;0;0;
204;8;6;6;1;0;0;0;
