"Iteration";"Win rate";"Avg nb turn";
1;424;7;
2;396;7;
3;388;6;
4;408;7;
5;384;7;
6;468;7;
7;448;7;
8;472;7;
9;456;7;
10;416;6;
11;428;7;
12;412;7;
13;404;7;
14;408;6;
15;508;7;
16;488;7;
17;540;7;
18;492;7;
19;784;6;
20;768;6;
21;768;6;
22;784;6;
23;816;6;
24;828;6;
25;816;6;
26;820;6;
27;748;6;
28;800;6;
29;804;6;
30;792;6;
31;800;6;
32;788;6;
33;824;6;
34;824;6;
35;816;6;
36;840;6;
37;780;6;
38;796;6;
39;816;6;
40;648;6;
41;736;6;
42;736;6;
43;772;6;
44;808;6;
45;804;6;
46;812;6;
47;808;6;
48;796;6;
49;772;6;
50;780;6;
51;784;6;
52;768;6;
53;800;6;
54;800;6;
55;788;6;
56;788;6;
57;820;6;
58;800;6;
59;840;6;
60;792;6;
61;772;6;
62;764;6;
63;840;6;
64;792;6;
65;676;6;
66;776;6;
67;776;6;
68;812;6;
69;836;6;
70;760;6;
71;820;6;
72;768;6;
73;852;6;
74;816;6;
75;772;6;
76;764;6;
77;852;6;
78;852;6;
79;792;6;
80;792;6;
81;840;6;
82;804;6;
83;780;6;
84;788;6;
85;764;6;
86;848;6;
87;816;6;
88;864;5;
89;828;5;
90;856;5;
91;868;5;
92;824;5;
93;868;5;
94;856;5;
95;868;5;
96;740;6;
97;712;6;
98;800;5;
99;880;5;
100;844;5;
101;880;5;
102;844;5;
103;852;5;
104;868;5;
105;836;5;
106;876;5;
107;780;5;
108;828;5;
109;880;5;
110;856;5;
111;876;5;
112;864;5;
113;872;5;
114;892;5;
115;892;5;
116;836;5;
117;908;5;
118;840;5;
119;860;5;
120;868;5;
121;908;5;
122;872;5;
123;888;5;
124;840;5;
125;908;5;
126;860;5;
127;880;5;
128;872;5;
129;872;5;
130;868;5;
131;832;5;
132;888;5;
133;820;5;
134;876;5;
135;908;5;
136;872;5;
137;908;5;
138;612;6;
139;840;5;
140;900;5;
141;864;5;
142;868;5;
143;876;5;
144;864;5;
145;820;5;
146;904;5;
147;872;5;
148;868;5;
149;876;5;
150;852;5;
151;856;5;
152;908;5;
153;852;5;
154;876;5;
155;872;5;
156;844;5;
157;664;6;
158;876;5;
159;876;5;
160;908;5;
161;692;6;
162;860;5;
163;808;5;
164;908;5;
165;856;5;
166;840;5;
167;872;5;
168;840;5;
169;900;5;
170;876;5;
171;648;6;
172;880;5;
173;908;5;
174;872;5;
175;856;5;
176;868;5;
177;844;5;
178;632;6;
179;888;5;
180;852;5;
181;848;5;
182;908;5;
183;892;5;
184;836;5;
185;844;5;
186;812;5;
187;836;5;
188;856;5;
189;852;5;
190;668;6;
191;872;5;
192;876;5;
193;680;6;
194;872;5;
195;884;5;
196;820;5;
197;844;5;
198;912;5;
199;852;5;
200;672;5;
201;912;5;
202;864;5;
203;904;5;
204;884;5;
205;904;5;
206;920;5;
207;852;5;
208;888;5;
209;892;5;
210;944;5;
211;944;5;
212;908;5;
213;944;5;
214;928;5;
215;932;5;
216;796;6;
217;952;5;
218;936;5;
219;936;5;
220;932;5;
221;952;5;
222;952;5;
223;828;6;
224;944;5;
225;952;5;
226;940;5;
227;936;5;
228;952;5;
229;944;5;
230;952;5;
231;912;5;
232;928;5;
233;952;5;
234;932;5;
235;916;5;
236;932;5;
237;928;5;
238;924;5;
239;912;5;
240;936;5;
241;916;5;
242;940;5;
243;944;5;
244;944;5;
245;928;5;
246;940;5;
247;796;6;
248;952;5;
249;952;5;
250;932;5;
251;932;5;
252;928;5;
253;932;5;
254;916;5;
255;948;5;
256;940;5;
257;924;5;
258;948;5;
259;944;5;
260;804;6;
261;952;5;
262;924;5;
263;932;5;
264;932;5;
265;948;5;
266;940;5;
267;920;5;
268;908;5;
269;932;5;
270;940;5;
271;924;5;
272;916;5;
273;956;5;
274;956;5;
275;796;6;
276;944;5;
277;952;5;
278;944;5;
279;948;5;
280;932;5;
281;944;5;
282;936;5;
283;928;5;
284;944;5;
285;792;6;
286;908;5;
287;940;5;
288;956;5;
289;924;5;
290;932;5;
291;948;5;
292;964;5;
293;964;5;
294;964;5;
295;964;5;
296;956;5;
297;964;5;
298;856;5;
299;968;5;
300;916;5;
301;952;5;
302;960;5;
303;952;5;
304;964;5;
305;872;5;
306;948;5;
307;960;5;
308;948;5;
309;968;5;
310;968;5;
311;784;5;
312;952;5;
313;948;5;
314;960;5;
315;972;5;
316;968;5;
317;912;5;
318;952;5;
319;960;5;
320;976;5;
321;972;5;
322;976;5;
323;980;4;
324;964;5;
325;952;5;
326;972;4;
327;980;4;
328;964;5;
329;976;5;
330;908;5;
331;956;5;
332;972;4;
333;980;5;
334;980;5;
335;972;4;
336;864;5;
337;972;5;
338;920;5;
339;960;5;
340;952;5;
341;940;5;
342;976;4;
343;968;5;
344;980;4;
345;980;5;
346;964;4;
347;968;5;
348;980;4;
349;980;5;
350;960;5;
351;964;5;
352;956;5;
353;980;5;
354;960;5;
355;956;5;
356;980;5;
357;976;4;
358;976;4;
359;964;4;
360;864;5;
361;980;5;
362;980;5;
363;948;5;
364;980;5;
365;956;5;
366;976;4;
367;968;5;
368;924;5;
369;980;5;
370;984;5;
371;984;5;
372;984;5;
373;735;5;
374;988;4;
375;968;4;
376;976;5;
377;972;5;
378;976;5;
379;988;4;
380;944;5;
381;988;5;
382;988;4;
383;944;5;
384;944;5;
385;988;4;
386;956;5;
387;860;5;
388;952;4;
389;980;4;
390;964;5;
391;904;5;
392;988;4;
393;988;4;
394;980;4;
395;960;5;
396;968;4;
397;960;5;
398;988;4;
399;988;4;
400;732;6;
401;988;4;
402;868;5;
403;868;5;
404;964;5;
405;956;5;
406;988;4;
407;972;5;
408;984;4;
409;980;4;
410;972;5;
411;972;5;
412;980;5;
413;976;4;
414;980;4;
415;960;5;
416;988;4;
417;852;5;
418;976;5;
419;984;4;
420;936;5;
421;968;4;
422;864;5;
423;988;4;
424;976;4;
425;984;5;
426;976;5;
427;988;4;
428;952;5;
429;988;4;
430;980;4;
431;984;4;
432;952;5;
433;976;5;
434;956;5;
435;988;5;
436;980;4;
437;980;4;
438;976;4;
439;964;5;
440;988;4;
441;964;5;
442;984;5;
443;988;4;
444;988;4;
445;940;5;
446;972;5;
447;948;4;
448;980;5;
449;988;4;
450;964;5;
451;972;4;
452;988;4;
453;980;4;
454;936;5;
455;820;5;
456;988;4;
457;988;4;
458;988;4;
459;952;5;
460;948;5;
461;944;5;
462;964;5;
463;988;4;
464;964;5;
465;856;5;
466;976;4;
467;988;4;
468;968;5;
469;980;4;
470;964;5;
471;988;5;
472;976;4;
473;968;5;
474;988;4;
475;944;5;
476;988;4;
477;976;4;
478;856;5;
479;944;5;
480;968;5;
481;960;5;
482;964;5;
