"ID°";"Cost";"Attack";"Defense";"Taunt";"Trample";"Distortion";"First Strike";
102;6;8;3;0;0;0;0;
71;4;5;2;0;0;0;0;
120;8;10;6;0;0;0;0;
83;5;6;3;0;0;0;0;
113;8;9;6;0;0;0;0;
107;8;8;8;0;0;0;0;
24;5;1;9;0;0;0;0;
77;7;5;8;0;0;0;0;
110;6;9;3;0;0;0;0;
34;3;2;4;0;0;0;0;
8;5;0;9;0;0;0;0;
128;8;12;3;0;0;0;0;
126;7;12;1;0;0;0;0;
10;6;0;11;0;0;0;0;
20;3;1;5;0;0;0;0;
15;8;0;16;0;0;0;0;
60;4;4;3;0;0;0;0;
22;4;1;7;0;0;0;0;
125;8;11;5;0;0;0;0;
101;5;8;2;0;0;0;0;
133;8;14;1;0;0;0;0;
70;3;5;1;0;0;0;0;
18;2;1;3;0;0;0;0;
2;2;0;3;0;0;0;0;
96;7;7;6;0;0;0;0;
30;8;1;15;0;0;0;0;
55;7;3;11;0;0;0;0;
17;2;1;2;0;0;0;0;
65;6;4;8;0;0;0;0;
64;6;4;7;0;0;0;0;
