"ID°";"Cost";"Attack";"Defense";"Taunt";"Trample";"Distortion";"First Strike";
39;6;2;9;0;0;0;0;
84;5;6;4;0;0;0;0;
25;6;1;10;0;0;0;0;
127;7;12;2;0;0;0;0;
115;6;10;1;0;0;0;0;
127;7;12;2;0;0;0;0;
70;3;5;1;0;0;0;0;
14;8;0;15;0;0;0;0;
1;1;0;2;0;0;0;0;
11;6;0;12;0;0;0;0;
16;1;1;1;0;0;0;0;
46;3;3;2;0;0;0;0;
109;6;9;2;0;0;0;0;
86;6;6;6;0;0;0;0;
49;4;3;5;0;0;0;0;
135;8;15;1;0;0;0;0;
115;6;10;1;0;0;0;0;
15;8;0;16;0;0;0;0;
13;7;0;14;0;0;0;0;
134;8;14;2;0;0;0;0;
94;6;7;4;0;0;0;0;
32;2;2;2;0;0;0;0;
132;8;13;3;0;0;0;0;
90;8;6;10;0;0;0;0;
47;3;3;3;0;0;0;0;
42;7;2;12;0;0;0;0;
45;2;3;1;0;0;0;0;
58;3;4;1;0;0;0;0;
82;4;6;2;0;0;0;0;
51;5;3;7;0;0;0;0;
