"Iteration";"Win rate";"Avg nb turn";
1;544;5;
2;576;5;
3;548;5;
4;552;5;
5;524;5;
6;496;5;
7;548;5;
8;564;5;
9;532;5;
10;544;5;
11;516;5;
12;588;5;
13;532;5;
14;716;5;
15;680;5;
16;684;5;
17;700;5;
18;684;5;
19;700;5;
20;716;5;
21;712;5;
22;684;5;
23;548;6;
24;712;5;
25;724;5;
26;532;5;
27;712;5;
28;720;5;
29;724;5;
30;724;5;
31;724;5;
32;692;5;
33;660;5;
34;716;5;
35;684;5;
36;728;5;
37;656;5;
38;668;5;
39;728;5;
40;676;5;
41;688;5;
42;736;5;
43;716;5;
44;708;5;
45;736;5;
46;724;5;
47;780;5;
48;804;5;
49;788;5;
50;808;5;
51;824;5;
52;824;5;
53;844;5;
54;852;5;
55;832;5;
56;844;5;
57;852;5;
58;852;5;
59;828;5;
60;852;5;
61;844;5;
62;840;5;
63;708;5;
64;844;5;
65;852;5;
66;848;5;
67;852;5;
68;588;5;
69;708;5;
70;864;5;
71;864;5;
72;808;5;
73;812;5;
74;844;5;
75;888;5;
76;888;5;
77;892;5;
78;872;5;
79;760;5;
80;892;5;
81;908;5;
82;864;5;
83;648;5;
84;876;5;
85;916;5;
86;876;5;
87;916;5;
88;896;5;
89;880;5;
90;916;5;
91;916;5;
92;752;5;
93;916;5;
94;880;5;
95;916;5;
96;916;5;
97;912;5;
98;856;5;
99;916;5;
100;880;5;
101;896;5;
102;912;5;
103;696;5;
104;888;5;
105;916;5;
106;876;5;
107;880;5;
108;916;5;
109;884;5;
110;872;5;
111;932;5;
112;932;5;
113;876;5;
114;932;5;
115;900;5;
116;892;5;
117;924;5;
118;580;5;
119;904;5;
120;932;5;
121;876;5;
122;916;5;
123;872;5;
124;864;5;
125;932;5;
126;916;5;
127;932;5;
128;876;5;
129;912;5;
130;932;5;
131;896;5;
132;900;5;
133;924;5;
134;928;5;
135;916;5;
136;904;5;
137;876;5;
138;932;5;
139;892;5;
140;932;5;
141;924;5;
142;932;5;
143;932;5;
144;888;5;
145;908;5;
146;928;5;
147;924;5;
148;924;5;
149;772;5;
150;688;5;
151;908;5;
152;920;5;
153;932;5;
154;693;5;
155;852;5;
156;892;5;
157;924;5;
158;932;5;
159;932;5;
160;892;5;
161;880;5;
162;772;5;
163;932;5;
164;928;5;
165;896;5;
166;872;5;
167;580;5;
168;876;5;
169;920;5;
170;888;5;
171;928;5;
172;916;5;
173;876;5;
174;900;5;
175;920;5;
176;920;4;
177;932;5;
178;932;5;
179;920;5;
180;932;5;
181;924;5;
182;932;5;
183;900;5;
184;900;5;
185;884;5;
186;932;5;
187;904;5;
188;904;5;
189;912;5;
190;580;5;
191;932;5;
192;896;5;
193;924;5;
194;932;5;
195;932;5;
196;916;5;
197;932;5;
198;700;5;
199;916;5;
200;932;5;
201;924;5;
202;916;5;
203;904;5;
204;916;5;
205;940;5;
206;924;5;
207;940;5;
208;788;5;
209;904;5;
210;604;5;
211;608;5;
212;860;5;
213;940;5;
214;896;5;
215;940;5;
216;908;5;
217;696;5;
218;932;5;
219;936;4;
220;940;5;
221;940;5;
222;928;5;
223;916;5;
224;904;5;
225;940;5;
226;936;5;
227;924;5;
228;940;5;
229;884;5;
230;924;5;
231;928;5;
232;936;5;
233;908;5;
234;916;5;
235;940;5;
236;940;5;
237;928;5;
238;756;5;
239;932;5;
240;768;5;
241;920;5;
242;928;5;
243;780;5;
244;896;5;
245;952;5;
246;896;5;
247;912;5;
248;912;5;
249;952;5;
250;888;5;
251;608;5;
252;892;5;
253;892;5;
254;952;5;
255;952;5;
256;900;5;
257;948;5;
258;608;5;
259;868;5;
260;916;5;
261;896;5;
262;952;5;
263;952;4;
264;932;5;
265;948;5;
266;952;5;
267;944;5;
268;924;5;
269;900;5;
270;952;5;
271;904;5;
272;780;5;
273;924;5;
274;904;5;
275;904;5;
276;952;5;
277;952;5;
278;948;5;
279;952;5;
280;944;5;
281;900;5;
282;892;5;
283;904;5;
284;904;5;
285;920;5;
286;816;5;
287;940;5;
288;952;5;
289;952;5;
290;948;5;
291;940;5;
292;848;5;
293;952;5;
294;920;5;
295;928;5;
296;916;5;
297;916;5;
298;904;5;
299;892;5;
300;952;5;
301;952;5;
302;892;5;
303;756;5;
304;948;5;
305;952;5;
306;904;5;
307;872;5;
308;948;5;
309;952;5;
310;924;4;
311;904;5;
312;912;5;
313;944;5;
314;900;5;
315;920;5;
316;900;5;
317;896;5;
318;944;5;
319;900;5;
320;920;5;
321;952;5;
322;920;5;
323;904;5;
324;928;5;
325;920;5;
326;792;5;
327;900;5;
328;864;5;
329;920;5;
330;940;5;
331;900;5;
332;888;5;
333;904;5;
334;560;5;
335;916;5;
336;908;5;
337;952;5;
338;892;5;
339;944;5;
340;928;5;
341;872;5;
342;944;5;
343;944;5;
344;952;5;
345;892;5;
346;940;5;
347;960;4;
348;956;4;
349;952;4;
350;960;4;
351;960;4;
352;948;4;
353;892;5;
354;900;5;
355;924;4;
356;952;4;
357;956;4;
358;924;4;
359;960;4;
360;960;4;
361;960;4;
362;952;4;
363;972;4;
364;920;4;
365;972;4;
366;972;4;
367;936;4;
368;972;4;
369;972;4;
370;936;4;
371;948;4;
372;972;4;
373;972;4;
