"ID°";"Cost";"Attack";"Defense";"Taunt";"Trample";"Distortion";"First Strike";
241;2;1;1;0;0;1;0;
862;8;10;1;1;0;0;1;
216;8;8;5;1;0;0;0;
895;8;2;10;0;0;1;1;
1165;6;0;2;1;1;1;1;
565;8;8;3;1;1;0;0;
678;7;4;2;1;1;1;0;
1037;6;5;2;0;1;0;1;
1153;8;5;5;0;1;1;1;
850;7;6;3;1;0;0;1;
78;7;5;9;0;0;0;0;
16;1;1;1;0;0;0;0;
212;6;8;1;1;0;0;0;
847;8;5;6;1;0;0;1;
668;7;2;5;1;1;1;0;
511;7;0;9;1;1;0;0;
263;7;2;10;0;0;1;0;
361;8;2;9;1;0;1;0;
1031;6;4;4;0;1;0;1;
1065;5;0;2;1;1;0;1;
378;6;5;2;1;0;1;0;
496;8;10;4;0;1;0;0;
162;4;2;2;1;0;0;0;
853;7;7;1;1;0;0;1;
223;8;10;3;1;0;0;0;
320;8;9;4;0;0;1;0;
1174;7;1;4;1;1;1;1;
438;4;3;2;0;1;0;0;
92;5;7;2;0;0;0;0;
870;6;0;8;0;0;1;1;
