"ID°";"Cost";"Attack";"Defense";"Taunt";"Trample";"Distortion";"First Strike";
149;3;1;1;1;0;0;0;
562;8;7;4;1;1;0;0;
798;4;0;2;1;0;0;1;
929;8;7;4;0;0;1;1;
1120;5;1;2;0;1;1;1;
690;8;7;2;1;1;1;0;
550;7;5;3;1;1;0;0;
959;6;2;2;1;0;1;1;
1059;8;9;2;0;1;0;1;
978;8;5;3;1;0;1;1;
746;6;4;5;0;0;0;1;
842;6;5;1;1;0;0;1;
481;8;7;7;0;1;0;0;
17;2;1;2;0;0;0;0;
480;8;7;6;0;1;0;0;
234;5;0;8;0;0;1;0;
942;5;0;2;1;0;1;1;
1069;7;0;6;1;1;0;1;
1032;7;4;5;0;1;0;1;
104;7;8;5;0;0;0;0;
531;8;2;8;1;1;0;0;
1058;7;9;1;0;1;0;1;
1009;4;2;1;0;1;0;1;
249;6;1;9;0;0;1;0;
735;5;3;5;0;0;0;1;
297;5;6;2;0;0;1;0;
317;6;9;1;0;0;1;0;
448;4;4;1;0;1;0;0;
1179;7;2;3;1;1;1;1;
754;5;5;3;0;0;0;1;
