"ID°";"Cost";"Attack";"Defense";"Taunt";"Trample";"Distortion";"First Strike";
0;1;0;1;0;0;0;0;
1;1;0;2;0;0;0;0;
2;2;0;3;0;0;0;0;
3;2;0;4;0;0;0;0;
4;3;0;5;0;0;0;0;
5;3;0;6;0;0;0;0;
6;4;0;7;0;0;0;0;
7;4;0;8;0;0;0;0;
8;5;0;9;0;0;0;0;
9;5;0;10;0;0;0;0;
10;6;0;11;0;0;0;0;
11;6;0;12;0;0;0;0;
12;7;0;13;0;0;0;0;
13;7;0;14;0;0;0;0;
14;8;0;15;0;0;0;0;
15;8;0;16;0;0;0;0;
16;1;1;1;0;0;0;0;
17;2;1;2;0;0;0;0;
18;2;1;3;0;0;0;0;
19;3;1;4;0;0;0;0;
20;3;1;5;0;0;0;0;
21;4;1;6;0;0;0;0;
22;4;1;7;0;0;0;0;
23;5;1;8;0;0;0;0;
24;5;1;9;0;0;0;0;
25;6;1;10;0;0;0;0;
26;6;1;11;0;0;0;0;
27;7;1;12;0;0;0;0;
28;7;1;13;0;0;0;0;
29;8;1;14;0;0;0;0;
30;8;1;15;0;0;0;0;
31;2;2;1;0;0;0;0;
32;2;2;2;0;0;0;0;
33;3;2;3;0;0;0;0;
34;3;2;4;0;0;0;0;
35;4;2;5;0;0;0;0;
36;4;2;6;0;0;0;0;
37;5;2;7;0;0;0;0;
38;5;2;8;0;0;0;0;
39;6;2;9;0;0;0;0;
40;6;2;10;0;0;0;0;
41;7;2;11;0;0;0;0;
42;7;2;12;0;0;0;0;
43;8;2;13;0;0;0;0;
44;8;2;14;0;0;0;0;
45;2;3;1;0;0;0;0;
46;3;3;2;0;0;0;0;
47;3;3;3;0;0;0;0;
48;4;3;4;0;0;0;0;
49;4;3;5;0;0;0;0;
50;5;3;6;0;0;0;0;
51;5;3;7;0;0;0;0;
52;6;3;8;0;0;0;0;
53;6;3;9;0;0;0;0;
54;7;3;10;0;0;0;0;
55;7;3;11;0;0;0;0;
56;8;3;12;0;0;0;0;
57;8;3;13;0;0;0;0;
58;3;4;1;0;0;0;0;
59;3;4;2;0;0;0;0;
60;4;4;3;0;0;0;0;
61;4;4;4;0;0;0;0;
62;5;4;5;0;0;0;0;
63;5;4;6;0;0;0;0;
64;6;4;7;0;0;0;0;
65;6;4;8;0;0;0;0;
66;7;4;9;0;0;0;0;
67;7;4;10;0;0;0;0;
68;8;4;11;0;0;0;0;
69;8;4;12;0;0;0;0;
70;3;5;1;0;0;0;0;
71;4;5;2;0;0;0;0;
72;4;5;3;0;0;0;0;
73;5;5;4;0;0;0;0;
74;5;5;5;0;0;0;0;
75;6;5;6;0;0;0;0;
76;6;5;7;0;0;0;0;
77;7;5;8;0;0;0;0;
78;7;5;9;0;0;0;0;
79;8;5;10;0;0;0;0;
80;8;5;11;0;0;0;0;
81;4;6;1;0;0;0;0;
82;4;6;2;0;0;0;0;
83;5;6;3;0;0;0;0;
84;5;6;4;0;0;0;0;
85;6;6;5;0;0;0;0;
86;6;6;6;0;0;0;0;
87;7;6;7;0;0;0;0;
88;7;6;8;0;0;0;0;
89;8;6;9;0;0;0;0;
90;8;6;10;0;0;0;0;
91;4;7;1;0;0;0;0;
92;5;7;2;0;0;0;0;
93;5;7;3;0;0;0;0;
94;6;7;4;0;0;0;0;
95;6;7;5;0;0;0;0;
96;7;7;6;0;0;0;0;
97;7;7;7;0;0;0;0;
98;8;7;8;0;0;0;0;
99;8;7;9;0;0;0;0;
100;5;8;1;0;0;0;0;
101;5;8;2;0;0;0;0;
102;6;8;3;0;0;0;0;
103;6;8;4;0;0;0;0;
104;7;8;5;0;0;0;0;
105;7;8;6;0;0;0;0;
