"Iteration";"Win rate";"Avg nb turn";
1;776;7;
2;892;6;
3;872;6;
4;876;6;
5;876;6;
6;872;6;
7;880;6;
8;856;6;
9;880;6;
10;884;6;
11;884;6;
12;884;6;
13;852;6;
14;840;6;
15;872;6;
16;908;6;
17;876;6;
18;900;6;
19;888;6;
20;892;6;
21;848;6;
22;892;6;
23;900;6;
24;816;6;
25;892;6;
26;924;6;
27;904;6;
28;884;6;
29;836;7;
30;908;6;
31;844;6;
32;904;6;
33;864;6;
34;756;6;
35;916;6;
36;852;6;
37;792;6;
38;900;6;
39;900;6;
40;868;6;
41;924;6;
42;912;6;
43;700;7;
44;924;6;
45;892;6;
46;860;6;
47;900;6;
48;876;6;
49;884;6;
50;912;6;
51;876;6;
52;888;6;
53;916;6;
54;876;6;
55;900;6;
56;928;6;
57;932;6;
58;900;6;
59;896;6;
60;904;6;
61;916;6;
62;888;6;
63;876;6;
64;900;6;
65;900;6;
66;908;6;
67;920;6;
68;920;6;
69;908;6;
70;884;6;
71;872;6;
72;904;6;
73;880;6;
74;908;6;
75;880;6;
76;900;6;
77;912;6;
78;828;7;
79;796;7;
80;908;6;
81;928;6;
82;912;6;
83;920;6;
84;900;6;
85;888;6;
86;900;6;
87;880;6;
88;892;6;
89;764;7;
90;888;6;
91;896;6;
92;888;6;
93;900;6;
94;916;6;
95;912;6;
96;916;6;
97;920;6;
98;908;6;
99;840;6;
100;896;6;
101;880;6;
102;932;6;
103;848;6;
104;884;6;
105;872;6;
106;856;6;
107;636;7;
108;880;6;
109;728;7;
110;896;6;
111;812;6;
112;892;6;
113;876;6;
114;864;6;
115;868;6;
116;932;6;
117;908;6;
118;880;6;
119;932;6;
120;896;6;
121;916;6;
122;900;6;
123;916;6;
124;880;6;
125;904;6;
126;884;6;
127;868;6;
128;912;6;
129;840;6;
130;744;7;
131;868;6;
132;812;7;
133;896;6;
134;884;6;
135;920;6;
136;756;7;
137;928;6;
138;872;6;
139;892;6;
140;860;6;
141;892;6;
142;888;6;
143;896;6;
144;860;6;
145;872;6;
146;884;6;
147;908;6;
148;896;6;
149;888;6;
150;896;6;
151;920;6;
152;872;6;
153;896;6;
154;904;6;
155;756;7;
156;852;6;
