"ID°";"Cost";"Attack";"Defense";"Taunt";"Trample";"Distortion";"First Strike";
96;7;7;6;0;0;0;0;
173;4;3;2;1;0;0;0;
747;6;4;6;0;0;0;1;
248;6;1;8;0;0;1;0;
791;7;11;1;0;0;0;1;
799;4;0;3;1;0;0;1;
255;3;2;2;0;0;1;0;
130;7;13;1;0;0;0;0;
1140;7;3;5;0;1;1;1;
734;5;3;4;0;0;0;1;
1140;7;3;5;0;1;1;1;
531;8;2;8;1;1;0;0;
873;8;0;11;0;0;1;1;
724;5;2;6;0;0;0;1;
130;7;13;1;0;0;0;0;
754;5;5;3;0;0;0;1;
1058;7;9;1;0;1;0;1;
637;7;8;1;0;1;1;0;
388;7;7;1;1;0;1;0;
461;6;5;4;0;1;0;0;
788;7;10;2;0;0;0;1;
442;6;3;6;0;1;0;0;
217;7;9;1;1;0;0;0;
776;6;8;1;0;0;0;1;
566;8;9;1;1;1;0;0;
258;5;2;5;0;0;1;0;
776;6;8;1;0;0;0;1;
460;5;5;3;0;1;0;0;
194;6;5;4;1;0;0;0;
234;5;0;8;0;0;1;0;
